Scope,Release,Business Unit,Tower Name,Sub-Tower,Planning Area,Descoped,PMO Comments,Domain,SCP Object ID,Object Description,Test Object Group,Object Type,Design End Date,Baseline Dev End Date,Trend Dev End Date (User-Override),Dev Planned End Date (Linked to Sprint Plan),Trend Dev End Date,Dev Completion Status,Dev PMO Comments,Applicable for FUT,FUT Comments,Planned FUT Date,Trend FUT End Date (User-Override),Trend FUT Date,FUT Demo/Playback Status,FUT Approval,FUT Linked Test Details,FUT Approver,Trend Build End Date (based on dev & FUT complete),Impacted by Legal Entity Extension,LE Baseline Dev End Date,LE Dev Planned End Date (Linked to Sprint Plan),LE Trend Dev End Date (User-Override),LE Trend Dev End Date,Sprint Number - LE Trend Dev End Date,LE Dev Completion Status,LE Trend FUT End Date (User-Override),LE Trend FUT End Date,LE FUT Demo/Playback Status,LE Trend Build End Date (dev & FUT complete),LE FUT Planned End Date (Linked to Sprint Plan),Archive Object ID_2,Complexity (H/M/L),Change Request ID,Design Opens (Y/N),Design Open Row ID,Intel Comments,SCP Predecessor Object ID,Predecessor Description,SCP Successor Object ID,Successor Description,STD vs Non-Std,FS Responsible Team,Dev Responsible Team,Technical Complexity,ECA Involved?,ECA Object  ID,ECA Object Description,ECA Dependency Tracker Link,Boundary App Involved?,Boundary App IAPM ID,Boundary Application Name,B-App Dependency Tracker Link,Sprint 19 - Delay Status,Impact Assessment (Formula),Latest Dev End Date from Build Plan,Helper - Absolute Row # from Build Plan,Build Plan Stage,Sprint Number - Baseline Dev End Date,Sprint Number - Trend Dev End Date,Object - Sprint Movement,Sprint Number - Based on Trend Dev End Date(10/24),Object - Sprint Movement (After 10/24),Tagged to Sprint 18,Tagged to Sprint 19,Tagged to Sprint 20,Tagged to Sprint 21,Tagged to Sprint 22,Tagged to Sprint 23,"Tagged to Sprint 23, Spilling to S23+",Tagged to S23+,Objects Approved beyond WW02,Source System,Target System,FUT Actual End Date (Manual),FUT Approval Date,Object Completion Sprint,Dev Planned End Date (Linked to Sprint Plan)S18-20,Dev Planned End Date (Linked to Sprint Plan)S21-24,FUT Planned Start Date (Linked to Sprint Plan),FUT Planned End Date (Linked to Sprint Plan),FUT Plan Start Date (Linked to Sprint Plan)S18-S20,FUT Planned End Date (Linked to Sprint Plan)S18-20,FUT Plan Start Date (Linked to Sprint Plan)S21-S24,FUT Planned End Date (Linked to Sprint Plan)S21-24,Created By,Created Date,Modified By,Modified Date,Max Dev End Date (FUT DB reference),Priority,Archive Object ID,Archived Object Description,GAP ID,Go live Critical,TUT Documentation Available?,TUT Complete,Sharepoint Link,Comments
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0046,FSpecs - WIP,"Transactional Data, Solver",02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0306,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0306,FSpecs - WIP,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0047,FSpecs - FCST ORDER,"Transactional Data, Solver",02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0307,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0307,FSpecs - FCST ORDER,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0048,FSpecs - CUST CUST ORDER,"Transactional Data, Solver",02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0308,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0308,FSpecs - CUST CUST ORDER,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0049,FSpecs - CAL,Master Data,02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0309,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0309,FSpecs - CAL,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0050,FSpecs - ORDER PROMISING,"Transactional Data, Order Confirmation",02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0310,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0310,FSpecs - ORDER PROMISING,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0051,FSpecs - TIME HORIZONS,"Master Data, Solver",02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0311,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0311,FSpecs - TIME HORIZONS,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0052,FSpecs - PURCH ROUTES,"Master Data, Solver",02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0312,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0312,FSpecs - PURCH ROUTES,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0053,FSpecs - DMD OUTPUT STATUS,Solver,02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0313,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0313,FSpecs - DMD OUTPUT STATUS,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0054,FSpecs - EXCEPTION PLAN O/P,Exception Management,02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0314,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0314,FSpecs - EXCEPTION PLAN O/P,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0055,FSpecs - PEGGING INTO,"Scenario Planning, Solver",02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0315,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0315,FSpecs - PEGGING INTO,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0056,FSpecs - PLAN OUTPUT,Solver,02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0316,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0316,FSpecs - PLAN OUTPUT,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0057,FSpecs - PLAN ARRIV,"Transactional Data, Solver",02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0317,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0317,FSpecs - PLAN ARRIV,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0058,FSpecs - PLAN ORDER,"Transactional Data, Solver",02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0318,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0318,FSpecs - PLAN ORDER,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0059,FSpecs - PLAN PURCH,"Transactional Data, Solver",02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0319,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0319,FSpecs - PLAN PURCH,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0060,PDH - Master Data - FE,Master Data,02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0320,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0320,PDH - Master Data - FE,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0061,PDH - Master Data - WLA,Master Data,02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0321,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0321,PDH - Master Data - WLA,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0062,PDH - Master Data - BE,Master Data,02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0322,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0322,PDH - Master Data - BE,,,,,,
