Scope,Console ID,Current Console ID (Auto generated),GAP ID,CR ID,Tower Name,Release Name,GPO Lead,Process Sub-Lead,Business Unit,IT Tower Lead,RICEFW Type,Deloitte Tower Lead,RICEFW Description/ Short Text,B-App IAPM ID,B-App Name,L3 Process Code,L3 Design Sprint End,FS Responsible Team,TDD Responsible Team,RICEFW Intake Form Status,RICEFW Intake Form Link,Process Steward,Created By,Comments,Status,RICEFW ID,Intimation Alert,Row Id,CR Creation Date,Created
01. IAO ERP,11.0,1010.0,MDM-130-0002,,09A. Master Data,02.R2,Rebecca Verette,Jim Midkiff,02.IF - Intel Foundry,Candice S Linnell,04.Enhancement,Karthik Subramanian,Enhance the Search Results and Search criteria in the customer master search screen,,,MDM-130-050,#NO MATCH,01.Deloitte,01.Deloitte,01.Pending alignment with GPO,https://intel.sharepoint.com/:p:\r\sites\inteldeloitteiao\Shared%20Documents\General\Implementation\09.%20Data\5%20Working%20Documents\2%20Customer%20Master\RICEFW%20Intake%20form\MDM-0130-050-002_Enhancing%20Search%20Results%20&%20Criteria.pptx?d=w41f7d67dc0494b649b54bda0ddcde844&csf=1&web=1&e=y6Bu8u,,,"RICEFW Desc captured in Intake form:
Enhance the outcomes and appearance of the Customer Master search by customizing the search results and search screen.

6/12: we will be moving to std search capability and reports as per SAP's recommendation. This RICEFW is no longer valid.",01.inactive,,,,,2024-03-26 01:48:23
01. IAO ERP,12.0,1011.0,M-150-190,,09A. Master Data,02.R2,Rebecca Verette,Jayant Kashikar,02.IF - Intel Foundry,Candice S Linnell,04.Enhancement,Lilibeth Lejarde,Material description generation from Classification data,,,M-150-190,,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/M-150-190_Data_Material%20Description.pptx?d=wf5d255156226473b80c44189b3e91bc3&csf=1&web=1&e=VhR2eP,,Antonio Saenz,"RICEFW Desc captured in Intake form:
Enhancement on Material Number generation",03.Processed,DATE0020,,,,2024-03-26 01:48:23
01. IAO ERP,13.0,1012.0,M-150-190,,09A. Master Data,03.R3,Rebecca Verette,Jayant Kashikar,02.IF - Intel Foundry,Candice S Linnell,04.Enhancement,Lilibeth Lejarde,MDG web service call to SAP xEDM to get the legacy material number,,,M-150-190,,01.Deloitte,01.Deloitte,01.Pending alignment with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/09.%20Data/5%20Working%20Documents/1%20Material%20Master/RICEFW%20Intake%20Form/M-150-001_DATA_Material%20Number%20Generation_RICEFW%20Intake%20Form_v1.0.pptx?d=web1594a2cc02470481a23c2efa39b6ea&csf=1&web=1&e=eICT5x,,,"RICEFW Desc captured in Intake form : 
Generate description  in multiple  languages for the material based on material attributes
If the description is longer than 40 characters, store the description in long text field
Automatic Material Group Assignment",01.inactive,,,,,2024-03-26 01:48:23
01. IAO ERP,14.0,1013.0,O-020-0006,,04. OTC IF,02.R2,Jill Matalon,,02.IF - Intel Foundry,Kevin A Brown,05.Form,Ravi Vishwanathan,Order acknowledgment and confirmation to the customer,,,O-020-100,R3 Design Sprint 7,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/sites/inteldeloitteiao/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2Finteldeloitteiao%2FShared%20Documents%2FGeneral%2FImplementation%2F11%2E%20Technology%2FRICEFW%2F30%20RICEFW%20Processed%20%28Approved%29%2FO%2D020%2D0006%5FOrder%20acknowledgment%20and%20confirmation%20to%20the%20customer%2E%2Epdf&parent=%2Fsites%2Finteldeloitteiao%2FShared%20Documents%2FGeneral%2FImplementation%2F11%2E%20Technology%2FRICEFW%2F30%20RICEFW%20Processed%20%28Approved%29,,Naman Parti,,03.Processed,OTCF0004,,,,2024-03-26 02:19:16
01. IAO ERP,15.0,1014.0,OR-140-0001,,03. FPR,01.R1,Shane Bethune,,02.IF - Intel Foundry,Bharath PLVN,02.Interface,Prabesh Acharya,Automated Interface for replicating the IFS Invoices to ECC and Technically Clearing the customer line in invoice posted in IF.​,,ECC,OR-140-020,R3 Design Sprint 1,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/sites/inteldeloitteiao/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2Finteldeloitteiao%2FShared%20Documents%2FGeneral%2FImplementation%2F11%2E%20Technology%2FRICEFW%2F30%20RICEFW%20Processed%20%28Approved%29%2FOR%2D140%2D0001%20Automated%20Interface%20to%20replicate%20the%20AR%20Invoices%20for%20IFS%20from%20IF%20to%20ECC%20system%2Epdf&parent=%2Fsites%2Finteldeloitteiao%2FShared%20Documents%2FGeneral%2FImplementation%2F11%2E%20Technology%2FRICEFW%2F30%20RICEFW%20Processed%20%28Approved%29,,Rahul Ranjan,"Complexity has been updated

Decision on Interface options ( Native integration vs MuleSoft )
Inteface for Replication of IFS Invoices from IF to ECC",03.Processed,FPRI0005,,,,2024-03-26 02:19:16
01. IAO ERP,16.0,1015.0,O-020-0007,,04. OTC IF,02.R2,Jill Matalon,,02.IF - Intel Foundry,Kevin A Brown,02.Interface,Ravi Vishwanathan,Enable EDI 860 - Order Change,12842.0,OpenText,O-020-100,R3 Design Sprint 7,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/_layouts/15/Doc.aspx?sourcedoc=%7B57CE82D4-11CD-4153-9823-49E4F6F08BD2%7D&file=Enable%20EDI%20860%20-%20Order%20Change.pptx&action=edit&mobileredirect=true,,Naman Parti,Change Order EDI 860 - New Interface,03.Processed,OTCI0047,,,,2024-04-03 22:09:41
01. IAO ERP,17.0,1016.0,O-020-0003,,04. OTC IF,02.R2,Jill Matalon,,02.IF - Intel Foundry,Kevin A Brown,02.Interface,Ravi Vishwanathan,Enable EDI 850 - Order Create,12842.0,OpenText,O-020-100,R3 Design Sprint 7,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/Enable%20EDI%20850%20-%20Order%20Create.pptx?d=we9d279d4dfe54a93b0bff47dd0ff70f1&csf=1&web=1&e=AmwEkw,,Naman Parti,Create Order EDI 850 - New Interface,03.Processed,OTCI0042,,,,2024-03-26 01:48:23
01. IAO ERP,18.0,1017.0,MB-210-0001,,03. FPR,,Angela Wolf,,02.IF - Intel Foundry,Bharath PLVN,04.Enhancement,Prabesh Acharya,Account Dimension for Balance Sheet Planning,,,MB-060-210,R3 Design Sprint 8,01.Deloitte,01.Deloitte,01.Pending alignment with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/FP-18-0001_FPR_RICEFW%20Intake%20Form_v1.0.pptx?d=wff5d620ce66e49f495f200e4596b174b&csf=1&web=1&e=9pFUmA,,Mahesh Reddy Dwarampudi,"Mistake while making entry as this is an Interface (not enhancement)
Account Dimension needs to be created and populated with data for Balance Sheet Planning.",01.inactive,,,,,2024-03-26 01:48:23
01. IAO ERP,19.0,1018.0,MB-210-0002,,03. FPR,,Angela Wolf,,02.IF - Intel Foundry,Bharath PLVN,02.Interface,Prabesh Acharya,Account Dimension for Cash Flow Statement,,,MB-060-210,R3 Design Sprint 8,01.Deloitte,01.Deloitte,01.Pending alignment with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/FP-19-0001_FPR_RICEFW%20Intake%20Form_v1.0.pptx?d=w53684565ef244d9fbf3aa5924ffd687d&csf=1&web=1&e=wrgzBX,,Mahesh Reddy Dwarampudi,"This object will be created with correct 'RICEFW Type'
Account Dimension needs to be created and populated with data for Statement of Cash Flow.",01.inactive,,,,,2024-03-26 01:48:23
01. IAO ERP,20.0,1019.0,MR-010-0001,,03. FPR,03.R3,Shane Bethune,Shira Koerbel,03.Shared Services,Bharath PLVN,04.Enhancement,Prabesh Acharya,Enhancement - Custom Fields in Manage bank Accounts,,,MR-010-070,R3 Design Sprint 1,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/MR-010-0001_FPR_RICEFW%20Intake%20Form_v1.0.pptx?d=w1685e474fafa4e229c41cb67536c6253&csf=1&web=1&e=elxXU9,,Mrudul Chillarige,"Received SAP Comments.
On Hold - Requires SAP Comments..

Intel’s bank accounts will be maintained in Manage bank accounts app in S/4 HANA. Treasury requires the addition of below custom fields in the Manage bank account app to support the below requirements –
Management region - This field  refers to the Cash Management team who owns the account 
2) Operating site - This field refers to the Operational team who owns the account based on bank branch 
3) M&A - Checkbox to indicate if this account belongs to an M&A activity
4) Intermediary SWIFT –  This fields lists the SWIFT code of the Intermediary bank
5) Intermediary Bank -  This field lists the name of the Intermediary bank",03.Processed,FPRE0049,,,,2024-03-26 01:48:23
01. IAO ERP,21.0,1020.0,O-IP-020-0002,,05. OTC IP,03.R3,Shelly Lafree,,01.IP - Intel Product,Kevin A Brown,04.Enhancement,Ravi Vishwanathan,Implement duplicate PO check validations for order create and change​,,,O-020-010,R3 Design Sprint 8,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/_layouts/15/Doc.aspx?sourcedoc=%7B498F3A47-CC22-4EA8-ABCA-451965DAD761%7D&file=Console_ID_21_IPG_Implement%20duplicate%20PO%20check%20validations%20for%20order%C2%A0create%20and%20change.pptx&action=edit&mobileredirect=true,,Naman Parti,Order create or change validation,03.Processed,OTCE0079,,,,2024-03-26 01:48:23
01. IAO ERP,22.0,1021.0,O-IP-020-0003,,05. OTC IP,03.R3,Shelly Lafree,,01.IP - Intel Product,Kevin A Brown,04.Enhancement,Ravi Vishwanathan,Populate Incoterms and Shipping conditions from Ship to party,,,O-020-100,R3 Design Sprint 7,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/04.%20OTC%20TMGF/2%20Sprint%20detailed%20plans/Phase%201%20Detailed%20design%20%26%20Sprint%20Planning/Workshops/Order%20Management/Filled%20RICEFW%20Templates/IPG_Ship%20to%20drives%20the%20incoterm%20%26%20SC.pptx?d=wa5ff86ad369d42fd939f57b1fcf18e43&csf=1&web=1&e=gt3Yuy,,Naman Parti,,03.Processed,OTCE0002,,,,2024-03-26 01:48:23
01. IAO ERP,23.0,1022.0,O-IP-020-0004,,05. OTC IP,03.R3,Shelly Lafree,,01.IP - Intel Product,Kevin A Brown,05.Form,Ravi Vishwanathan,Order acknowledgment and confirmation to the customer,,,O-020-100,R3 Design Sprint 7,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/04.%20OTC%20TMGF/2%20Sprint%20detailed%20plans/Phase%201%20Detailed%20design%20%26%20Sprint%20Planning/Workshops/Order%20Management/Filled%20RICEFW%20Templates/IPG_Order%20Acknowledgement%20%26%20confirmation.pptx?d=wde2b620a95f94f329eddd986fd748552&csf=1&web=1&e=tQSBVa,,Naman Parti,,03.Processed,OTCF0004,,,,2024-03-26 01:48:23
01. IAO ERP,24.0,1023.0,O-020-0004,,04. OTC IF,02.R2,Jill Matalon,,02.IF - Intel Foundry,Kevin A Brown,02.Interface,Ravi Vishwanathan,Interface for Sales Order data outbound to ECA,,,,,01.Deloitte,01.Deloitte,,,,Naman Parti,Confirmed with Jason C 6/4 cancelled. Since Azure data lake is in scope for R2 the sales order data for ECA-> HANA ->SPAN can be sourced form Azure data lake.,01.inactive,,,,,2024-03-26 01:48:23
01. IAO ERP,25.0,1024.0,O-IP-020-0005,,05. OTC IP,03.R3,Shelly Lafree,,01.IP - Intel Product,Kevin A Brown,02.Interface,Ravi Vishwanathan,Enable WOM  - Order Create,31717.0,WOM,O-020-100,R3 Design Sprint 7,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:\r\sites\inteldeloitteiao\Shared%20Documents\General\Implementation\04.%20OTC%20TMGF\2%20Sprint%20detailed%20plans\Phase%201%20Detailed%20design%20&%20Sprint%20Planning\Workshops\Order%20Management\Filled%20RICEFW%20Templates\IPG_Enable%20WOM%20-%20Order%20Create.pptx?d=w91815df065134011b45c66c9db68108f&csf=1&web=1&e=Eey7DE,,Naman Parti,,03.Processed,OTCI0037,,,,2024-03-26 01:48:23
01. IAO ERP,26.0,1025.0,DC-040-010-0004,,03. FPR,03.R3,Shane Bethune,,02.IF - Intel Foundry,Bharath PLVN,03.Conversion,Prabesh Acharya,Fixed Asset AUC data conversion object,,,DC-040-010,R3 Design Sprint 2,01.Deloitte,01.Deloitte,03.Additional Information Requested by GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/DC-040-010-0004_FPR_Fixed%20Asset%20AUC%20conversion.pptx?d=w6df49e10cd724cb89885f1fc8b70cf3a&csf=1&web=1&e=fCFJx2,,Md Sarfraz Quraishi,AUC data conversion,01.inactive,,,,,2024-03-26 01:48:23
01. IAO ERP,27.0,1026.0,BR-IF-W-130-020-0001,,04. OTC IF,02.R2,Jill Matalon,,02.IF - Intel Foundry,Kevin A Brown,04.Enhancement,Ravi Vishwanathan,Trigger Approval Workflow for Credit/ Debit Memo Request,,,BR-130-020,R3 Design Sprint 8,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/04.%20OTC%20TMGF/2%20Sprint%20detailed%20plans/Phase%201%20Detailed%20design%20%26%20Sprint%20Planning/Workshops/Billings%20and%20Rebates/Filled%20RICEFW%20Template/Billing_Console_BR-130-020.pptx?d=wf411e96461d64eda96fe3f5f896c0162&csf=1&web=1&e=gufHNP,,Smriti Adlakha,"1.Workflow with multi level approval, approval matrix (approval thresholds), designating approvals, Incompleteness check, GTS blocks check 2. Status update notifications to CBA/Rebate Analyst via. Outlook Email 3. Approval requests to be sent via. Outlook Email 4. Workflow with Approve, Reject, Rework options to approver. Retrigger workflow incase of Rework 5. Automatic creation of Credit/Debit memo upon approval of request 6. Workflow approval and notification formats/templates for Outlook Email",03.Processed,OTCE0026,,,,2024-03-26 01:48:23
01. IAO ERP,28.0,1027.0,CM-050-020,,04. OTC IF,03.R3,Jill Matalon,,02.IF - Intel Foundry,Kevin A Brown,04.Enhancement,Ravi Vishwanathan,Credit hold release dashboard,,,CM-050-020,#NO MATCH,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/CM-050-020_OTC_RICEFW%20Intake%20Form_V1.0.pptx?d=wd5117b0b32a14935bc9eef408877d6ba&csf=1&web=1&e=SivrZG,,Sridhar Ramayanam,Standard SAP does not have functionality to release credit blocks at line item level as is the requirement from credit team,03.Processed,"OTCE0021,
OTCE0022",,,,2024-03-26 01:48:23
01. IAO ERP,29.0,1028.0,O-IP-020-0001,,05. OTC IP,03.R3,Shelly Lafree,,01.IP - Intel Product,Kevin A Brown,02.Interface,Ravi Vishwanathan,Enable EDI  - Order Create,"12842, 12258","OpenText, MuleSoft",O-020-100,R3 Design Sprint 7,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/04.%20OTC%20TMGF/2%20Sprint%20detailed%20plans/Phase%201%20Detailed%20design%20%26%20Sprint%20Planning/Workshops/Order%20Management/Filled%20RICEFW%20Templates/IPG_Enable%20EDI%20-%20Order%20Create.pptx?d=w8f39fa60ac8d4a3eaf0a0c1bffdf97f3&csf=1&web=1&e=931viq,,Naman Parti,,03.Processed,OTCI0038,,,,2024-03-26 01:48:23
01. IAO ERP,30.0,1029.0,DC-100-IDM-USID-0452-FPR,,03. FPR,03.R3,Shane Bethune,,01.IP - Intel Product,Bharath PLVN,04.Enhancement,Prabesh Acharya,Accounting for technical return reserve,,,DC-100-020,#NO MATCH,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/FPR_Team03_RAR_Console%20ID_30.pptx?d=wd55a958ced76469ab21592413bba38c9&csf=1&web=1&e=DUudSf,,Aayush Poddar,"On hold till as it is not prepared for OSC review

Intel would need to account for the technical return reserve via manual calculations and JEs instead of an automated program.
The reserve moves with revenue and is currently sitting at $21M  
The automated program runs on WD0. A manual JE could delay the close process by ~½ day",01.inactive,FPRE0474,,,,2024-03-26 02:19:16
01. IAO ERP,31.0,1030.0,DC-100-IDM-USID-0476-FPR,,03. FPR,03.R3,Shane Bethune,,01.IP - Intel Product,Bharath PLVN,04.Enhancement,Prabesh Acharya,Accounting for reserves for unissued returns credit notes,,,DC-100-020,#NO MATCH,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/FPR_Team03_RAR_Console%20ID_31.pptx?d=wbd60a265b6ce48759153180cce3ba5d2&csf=1&web=1&e=aOdA5w,,Aayush Poddar,"On hold till as it is not prepared for OSC review

Intel would need to account for the unissued returns via manual calculations and JEs instead of an automated program.
The automated program runs on WD0. A manual JE could delay the close process by ~½ day
The JE is ~$40M per quarter",01.inactive,FPRE0475,,,,2024-03-26 02:19:16
01. IAO ERP,32.0,1031.0,DC-040-010-0001,,03. FPR,03.R3,Shane Bethune,,02.IF - Intel Foundry,Bharath PLVN,02.Interface,Prabesh Acharya,ServiceNow Asset change/create,"35464, 
23476","ServiceNow Cloud Lab, 
ServiceNow Cloud",DC-040-010,R3 Design Sprint 2,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/10%20RICEFW%20Inbox/DC-040-010-0001_FPR_Asset%20inventory%20and%20serial%20number%20update.pptx?d=w68230ca66fb743128ff74ad67537e4f4&csf=1&web=1&e=TJgwkv,,Md Sarfraz Quraishi,"08/29 This is ready for tech review.
08/26: alignment with ISMP completed this is ready for GPO. Please add this to next review",03.Processed,"FPRI0599_IF
FPRI0599_IP",,,,2024-03-26 01:48:23
01. IAO ERP,34.0,1032.0,DC-020-100-IDM-USID-0435-FPR,,03. FPR,01.R1,Shane Bethune,,02.IF - Intel Foundry,Bharath PLVN,03.Conversion,Prabesh Acharya,Create/ Update Cost Center - Maintain cost center hierarchy,,,DC-020-100,,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:b:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/30%20RICEFW%20Processed%20(Approved)/34_FPR_Cost%20Center%20Hierarchy_RICEFW%20Intake%20Form.pdf?csf=1&web=1&e=qvJTvY,,Naveen Negi,A Conversion object must be developed to maintain or load the master data in new MDG,03.Processed,FPRC0009,,,,2024-03-26 02:19:16
01. IAO ERP,35.0,1033.0,DC-020-100-IDM-USID-0055,,03. FPR,01.R1,Shane Bethune,,02.IF - Intel Foundry,Bharath PLVN,03.Conversion,Prabesh Acharya,Create/ Update Cost Center,,,DC-020-100,,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:b:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/30%20RICEFW%20Processed%20(Approved)/35_FPR_Cost%20Center%20Master%20Data_RICEFW%20Intake%20Form.pdf?csf=1&web=1&e=olgyUm,,Naveen Negi,A Conversion object must be developed to maintain or load the master data in new MDG,03.Processed,FPRC0010,,,,2024-03-26 02:19:16
