Approved Release [PMO Only],Intercepting Testing Cycle,Change ID (AC),Approved/Denied,Next Steps,Program Scope,Requested Releases,"Priority (Very High, High, Medium, Low)",Requestor Team*,Requestor Sub-team*,Logistics?,Impacted Towers/Horizontals (Multiple Selection),Change Request Owner,Change Request IT Owner For The Function,Project Manager,Related Open Design Topic,Related CR,Related Risk/Issue [RAID #],Related KDD [RAID #],ServiceNow Reference,ServiceNow Delivery Status,B-App IAPM ID,B-App IAPM Name,Special Projects,Change Title*,Change Description,Rationale for the Change,Impact to Schedule,Ready for PMO Review?,Core vs Non-Core Functionality,Link to Approval Email,Link to Change Request Review Deck,CR Category,Type of Change [For Program Releases - R1-R5],Impacted L3's,Will have BPM Standards (BIC/WIKI) Updates?,Complexity,Technical Effort Estimation,Design Complexity Value,Dollar Impact (US Design Hours),Dollar Impact ($),Functional Effort,CDI Tech Effort [SCP Build],PDH Tech Effort [SCP Build] hrs,BY Tech Effort [SCP Build] hrs,ECA Tech Effort [SCP Build] hrs,Config Effort [ERP Build],Tech Effort [ERP Build],ECA Effort [ERP Build],Data Migration [ERP Build],Security Effort [ERP Build],BApps Tech Effort,Total SCP Tech Effort,Total ERP Tech Effort,ERP Dev Team [For Build CR's Only],Added/Pushed Object ID's?,Dev Team of New Object,Count of New Objects,Added Object ID's,RICEFW Console ID,S4 Object Tracker,Count of New S4 Objects,Deloitte ECA,Count of New Deloitte ECA Objects,Intel ECA,Count of New Intel ECA Objects,Count of New ECA Objects,SCP - RICEFW,Count of SCP RICEFW,SCP - PDH,Count of SCP - PDH,Count of New SCP Objects,Changed Build Objects,Count of Changed Objects,Changed S4 RICEFW's,Count of Changed S4,Changed ECA ID's,Count of Changed ECA,Changed SCP ID's,Count of Changed SCP,Descoped RICEFW ID's,Replacement Object,Planned FUT Complete date,Count of Descoped RICEFW's,Change Status,Need Core Leadership approval? [PMO],Need MRC Approval? [PMO],Review Date with Change Ingestion,Notes from Change Ingestion,2nd Review Date with CCB,Notes from 2nd CCB Review,Actual Review Date with CL [Stage 1],Notes from Core Leadership Review [Stage 1],Actual Review Date with CL [Stage 2],Notes from Core Leadership Review [Stage 2],Review Date with MRC,Notes From MRC Review,Comments for Rejection/Deferral,Design vs Build,Approval Level,Leadership Approval Date,Month of Approval,Final Month of Approval,Month of Creation,Creation Date,Days Open,Aging,Created By,Reconciliation Done?,For Future Release?,Completion Status (Build CR),Completion Status (Object ID),Completion Status (Manual),Overall Completion,Added to Build CR Tracker,Applicable for R4
R2 (Aug 2025),R2,INT-CR0401,Approved,,"Other (Boundary Apps, Data Transformation)",R2 (Release 2),Very High,14. OCM,14.6 OCM - Other Horizontals Embedded,,"09A. Master Data
14. OCM
17. B-App
18. SCP",lwinterton@deloitte.com,,,,,,,,,,,,IAO Data Training,"Additional R2 courses added to the IAO Data Transformation curriculum, resulting in additional Deloitte training development to support the creation and review of ILTs, WBTs, Job Aids and to support identification of any net new or upskilling gaps uncovered from training feedback review cycles​",IAO data design efforts resulted in key design processes and decisions requiring data fundamental changes training to upskill end users,,Yes,,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/Change%20Request%20Decks/OCM/Change%20ID_Data_IAO%20Training%20Materials.pptx?d=wf3a123fbdd9a4930b88df56518306e4f&csf=1&web=1&e=0Cdd5D&nav=eyJzSWQiOjIxNDc0ODExNDMsImNJZCI6Nzg5NjQ4MDg5fQ,,"12. Other Deliverable Changes (OCM, BPM, BCP, Testing, Cutover, Etc.)",,,,"2,900 development hours",0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,,,,0.0,10. OSC/CL Approved (end status),Yes,No,2025-04-07 00:00:00,,,,2025-04-08 00:00:00,Discussed with Uzma offline and approved during Core Leadership FTF,,,,,,Other,CL/OSC,2025-04-08 00:00:00,"04, 2025","04, 2025","03, 2025",2025-03-06 00:00:00,0.0,< 15 Days,web-form@smartsheet.com,,No,,No Objects,,In Progress,No,
R3 (Feb 2027),R3 ITC1,INT-CR0402,Approved,Need tech effort estimation,ERP,R3 (Release 3),Medium,09A. Master Data,9A.1 Master Data - ALL,,"04. OTC IF
07. FTS IF
08. FTS IP
09A. Master Data
17. B-App",andrew.t.austin@intel.com,,,,,,,,,,,,Master Data Configuration for ISM Fiori App Design,"To stay legally compliant to Trade regulatory requirements and fit IAO MVP design strategy for Non-inventory shipment order in ISM, HRMM, Customer Master, Supplier Master, and Material Master must build /design for relevant master data and functions in S4 to secure ISM functionalities fitting business needs.","Currently, Supplier/Customer information for ISM creation is mainly relying on user manual inputs, and Material master identifier is optional for ISM submission and GTS compliance checks. And some of data configuration and partner function in SAP ECC  is unique for ISM. Because of complaint to IAO design requirements for Capital, EIMS/Labs items and Non-inventory materials ship thru ISM, the Change must be happened in S4 and conducted by MDG team",,No,,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/Change%20Request%20Decks/FTS/R3/INT-CR0402%20MDG_CR%20Deck_FTS%20IP%20ISM.pptx?d=w369099bdf309460d9dcfd6b007dccb72&csf=1&web=1&e=tf6VuS,,4. Change to Existing RICEFW / ECA/ Build Object,,,,tbd,0.0,,,,,,,,,,,149.0,,,0.0,149.0,Data Migration,No,,0.0,N/A,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,"DATC0182_IP​, DATC0120_IP​, DATC0179_IP​, DATC0184_IP, DATW0207​, DATW0205_IP​, DATE0313_IP​, DATR0389_IP​, DATC0178_IP​",9.0,"DATC0182_IP​, DATC0120_IP​, DATC0179_IP​, DATC0184_IP, DATW0207​, DATW0205_IP​, DATE0313_IP​, DATR0389_IP​, DATC0178_IP​",9.0,,0.0,,0.0,N/A,,2026-01-30 00:00:00,0.0,04. Tower/Horizontal Approved (end status),No,No,2025-08-14 00:00:00,"o	This request is for a change to customer master design for ISM
	When NSO is used, business needs them created as customers
	Building codes are mapped to employees
o	Team went through detailed design process with MDG to create separate rows for NSO users, and a different set of governance processes will be followed.
o	This change is required to become compliant.
	Business is not compliant today.
o	Conversion cannot be manual and needs to be automated.
o	AR: Follow up with conversion team (Jaya and Julie) to get confirmation with hours - @Athar, Imran
o	If the work cannot be completed in R3, then the CR will be slotted for R4/R5.",,,,,,,,,,Build,Tower,2025-08-14 00:00:00,"08, 2025","08, 2025","03, 2025",2025-03-07 00:00:00,0.0,< 15 Days,web-form@smartsheet.com,,No,CR Complete,No Objects,,Complete,Yes,
R2 (Aug 2025),R2,INT-CR0403,Approved,,ERP,R2 (Release 2),Medium,04. OTC IF,4.11 OTC IF - Order Management,,"04. OTC IF
11. Technology",Sindhuja Gangireddy,,,,,,,,,,,,Trigger ZBA2 and ZBA4 outputs only on the first confirmation post removal of delivery block,Update routine 902 or creation of new routine as 902 is used for other outputs such that it only triggers automatically one time after the delivery block is removed and it is not triggered automatically during other significant changes after the first confirmation sent,IF Business wants change in Routine 902 for sending ZBA2 and ZBA4 outputs only on the first confirmation (after the delivery block is removed by updating the confirmed dates using the Update CMAD app),,No,,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/Change%20Request%20Decks/OTC/INT-Build-CR0247%20Routine%20update%20for%20sending%20ZBA2%20and%20ZBA4%20outputs%20only%20on%20the%20first%20confirmation.pptx?d=w870387beb0dd40d38f28c225a0340df4&csf=1&web=1&e=tgL8e1,,4. Change to Existing RICEFW / ECA/ Build Object,,,,20.0,0.0,,,,,,,,,20.0,,,,,0.0,20.0,Tech - S/4,No,,0.0,N/A,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,OTCE0171,1.0,OTCE0171,1.0,,0.0,,0.0,N/A,,2025-03-19 00:00:00,0.0,04. Tower/Horizontal Approved (end status),No,No,2025-03-10 00:00:00,Approved offline with Uzma,,,,,,,,,,Build,Tower,2025-03-10 00:00:00,"03, 2025","03, 2025","03, 2025",2025-03-07 00:00:00,0.0,< 15 Days,kgajananchaporkar@deloitte.com,,No,CR Complete,No Objects,,Complete,Yes,
R3 (Feb 2027),N/A,INT-CR0404,Approved,,ERP,R3 (Release 3),Medium,03. FPR,3.5 FPR - Fixed Assets,,"03. FPR
10. Analytics",Kaushik Mhatre,,,,,,,,,,,,FPR - Cancellation of  ECA View object- FPRXV166 (Localization - FAA subledger - non-leading ledger for CR),"FPR - Cancellation of  ECA View object- FPRXV166 (Localization - FAA subledger - non-leading ledger for CR) - Since the requirement of this is covered in the ECA object- ""FPRXV108 (Tax Cost Roll Forward Report) & FPRXV047 (Asset Accounting Transactions)",Objects Descoped since the requirement is covered under other ECA object.,,Yes,,,,,5. Cancel RICEFW / ECA / Build Object,,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,No,,0.0,N/A,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,FPRXV166,,,1.0,04. Tower/Horizontal Approved (end status),No,No,2025-03-18 00:00:00,,,,,,,,,,,Other,Tower,2025-03-18 00:00:00,"03, 2025","03, 2025","03, 2025",2025-03-07 00:00:00,0.0,< 15 Days,kamhatre@deloitte.com,,No,,No Objects,,In Progress,No,
R3 (Feb 2027),N/A,INT-CR0405,Approved,,ERP,R3 (Release 3),Medium,03. FPR,3.5 FPR - Fixed Assets,,"03. FPR
10. Analytics",Kaushik Mhatre,,,,,,,,,,,,FPR - Cancellation of  ECA View object- FPRXV167 (Localization - Aging AUC Raw Data report - non-leading ledger for CR),FPR - Cancellation of  ECA View object- FPRXV167 (Localization - Aging AUC Raw Data report - non-leading ledger for CR) - Since the requirement of this is covered in the ECA object- FPRXV046 (Aging AUC Raw Data),Objects Descoped since the requirement is covered under other ECA object.,,Yes,,,,,5. Cancel RICEFW / ECA / Build Object,,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,No,,0.0,N/A,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,FPRXV167,,,1.0,04. Tower/Horizontal Approved (end status),No,No,2025-03-18 00:00:00,,,,,,,,,,,Other,Tower,2025-03-18 00:00:00,"03, 2025","03, 2025","03, 2025",2025-03-07 00:00:00,0.0,< 15 Days,kamhatre@deloitte.com,,No,,No Objects,,In Progress,No,
R3 (Feb 2027),N/A,INT-CR0406,Approved,,ERP,R3 (Release 3),Medium,03. FPR,3.5 FPR - Fixed Assets,,"03. FPR
10. Analytics",Kaushik Mhatre,,,,,,,,,,,,FPR - Cancellation of  ECA View object- FPRXV124 (FAA Prepaid Activity),FPR - Cancellation of  ECA View object- FPRXV124 (FAA Prepaid Activity) - Since the requirement of this is covered in the ECA object- FPRXV051 (PO Research Report),Objects Descoped since the requirement is covered under other ECA object.,,Yes,,,,,5. Cancel RICEFW / ECA / Build Object,,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,No,,0.0,N/A,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,FPRXV124,,,1.0,04. Tower/Horizontal Approved (end status),No,No,2025-03-18 00:00:00,,,,,,,,,,,Other,Tower,2025-03-18 00:00:00,"03, 2025","03, 2025","03, 2025",2025-03-07 00:00:00,0.0,< 15 Days,kamhatre@deloitte.com,,No,,No Objects,,In Progress,No,
R3 (Feb 2027),R3 ITC1,INT-CR0408,Approved,60 hours of E2Open work; 12 hours of functional work,ERP,R3 (Release 3),High,06. PTP,6.2 PTP - Procurement,,"06. PTP
11. Technology
12. Infrastructure
18. SCP",Yash Mathur,,,,,,,,,,,,PTPI0369 Interface for Inventory/MRP Report from S/4 to E2Open,"Add below fields in the report:
1. Batch Management Indicator
2. Serial No Profile",These fields are required to analyze whether a material is batch managed or serial number managed,,Yes,,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/_layouts/15/Doc.aspx?sourcedoc=%7B1B7C735C-7A5C-48D3-8A74-331E46D7CD3D%7D&file=INT-CR0408_PTP_IF_IP.pptx&wdLOR=c85396B35-895E-4A3E-A32F-1980F9EEC55E&action=edit&mobileredirect=true,,4. Change to Existing RICEFW / ECA/ Build Object,,,,76.0,0.0,,,,,,,,,76.0,,,,,0.0,76.0,"Tech - Middleware
Tech - S/4",No,,0.0,N/A,,PTPI0369,1.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,"PTPI0369_IP, PTPI0369_IF",2.0,"PTPI0369_IP, PTPI0369_IF",2.0,,0.0,,0.0,N/A,,2025-04-24 00:00:00,0.0,04. Tower/Horizontal Approved (end status),No,No,2025-03-27 00:00:00,"Approved by Todd in offline email:
Hi Anna,
 
INT-CR0365: Approved
INT-CR0367: Approved
INT-CR0413: Approved
INT-CR0408: Approved
 
These are all R3 so I’m generally less worried about risk
 
Todd",,,,,,,,,,Build,Tower,2025-03-27 00:00:00,"03, 2025","03, 2025","03, 2025",2025-03-07 00:00:00,0.0,< 15 Days,yamathur@deloitte.com,,No,CR Complete,No Objects,,Complete,Yes,
R2 (Aug 2025),R2,INT-CR0409,Approved,,ERP,R2 (Release 2),,04. OTC IF,4.11 OTC IF - Order Management,,"04. OTC IF
11. Technology",Naman Parti,,,,,,,,,,,,Blanket CR for all the defects (capturing new requirements) recorded in the ITC3 testing,Blanket CR for all the defects (capturing new requirements) recorded in the ITC3 testing,Blanket CR for all the defects (capturing new requirements) recorded in the ITC3 testing,,No,,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/Change%20Request%20Decks/OTC/INT-CR0409_OTC%20IF_ITC3_Blanket%20CR%20for%20Defects%20recording%20new%20requirements.pptx?d=w4886e12ec35440aab2a41d6b10f02e87&csf=1&web=1&e=ohOxxW,,4. Change to Existing RICEFW / ECA/ Build Object,,,,62.0,0.0,,,,,,,,,62.0,,,,,0.0,62.0,"Tech - Middleware
Tech - S/4",No,,0.0,N/A,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,"OTCI0047​, OTCI0275​, OTCI0276​, OTCI0301​, OTCI0302",5.0,"OTCI0047​, OTCI0275​, OTCI0276​, OTCI0301​, OTCI0302",5.0,,0.0,,0.0,N/A,,2025-03-17 00:00:00,0.0,04. Tower/Horizontal Approved (end status),No,No,2025-03-10 00:00:00,Approved offline with Uzma,,,,,,,,,,Build,Tower,2025-03-10 00:00:00,"03, 2025","03, 2025","03, 2025",2025-03-07 00:00:00,0.0,< 15 Days,nparti@deloitte.com,,No,CR Complete,No Objects,,Complete,Yes,
R2 (Aug 2025),R2,INT-CR0410,Approved,,ERP,R2 (Release 2),High,04. OTC IF,4.10 OTC IF - Logistics Management Outbound,Yes,"04. OTC IF
07. FTS IF
09A. Master Data
11. Technology
12. Infrastructure",junior.milan@intel.com,,,,,,,,,,,,Make FAB POLP table data available in S/4 to automatically allocate batch to delivery notes.,Make FAB POLP table data available in S/4 to automatically allocate batch to delivery notes.,"To reduce manual work and limit quality issues, include FAB POLP table data in S/4 to allow the ADNC program to automatically allocate batches to delivery notes upon creation. The manual delivery note process represents ~70% of the existing business.",,No,,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/_layouts/15/Doc.aspx?sourcedoc=%7BA03E4A1B-C256-4E39-9319-B0BA5623D8F6%7D&file=INT-CRXXXX_OTC%20IF_CR%20(FAB%20POLP).pptx&action=edit&mobileredirect=true,,4. Change to Existing RICEFW / ECA/ Build Object,,,,18.0,0.0,,,,,,,,,18.0,,,,,0.0,18.0,Tech - S/4,No,,0.0,N/A,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,LOGE0400,1.0,LOGE0400,1.0,,0.0,,0.0,N/A,,2025-04-28 00:00:00,0.0,04. Tower/Horizontal Approved (end status),No,No,2025-03-13 00:00:00,"o	The data currently comes from ECC to S4, and the source of the batch information is pushed through EWM
	When it comes through the FAB materials, there is some disconnect. Therefore, the delivery dates does not have a batch, and it will fail.
o	This change will allow for the POLP process to follow the WLA process. 
	Otherwise, the batch needs to be manually entered when a TM is created. This will be there when R4 goes live.
	Not having this automation will provide a lot of risk to customers as promise dates will not be met.
	This process will be only for external customer wafers.
o	AR: Capture DeNodo and FSSD team efforts. - @Das, Debranjan
o	AR: Ensure build plan and testing are aligned in UAT. - @Das, Debranjan",,,,,,,,,,Build,Tower,2025-03-13 00:00:00,"03, 2025","03, 2025","03, 2025",2025-03-07 00:00:00,0.0,< 15 Days,web-form@smartsheet.com,,No,CR Complete,No Objects,,Complete,Yes,
R3 (Feb 2027),N/A,INT-CR0411,Approved,,ERP,R3 (Release 3),Medium,03. FPR,10.3 Analytics - FPR,,03. FPR,kritajoshi@deloitte.com,,,,,,,,,,,,"Cancellation of ECA Views Objects from Object tracker / Transfer of Objects into Intel ECA Tracker

FPRXV064​ - HC Report: Ops1 Operations Headcount EXCEL.url​
FPRXV065​ - Ops1 Headcount Detail​
FPRXV066​ - Headcount Report India​
FPRXV170​ - Project Deactivation​
FPRXV171​ - Guardband Checkbook​
FPRXV221​ - Employee Related Expenses Report​
FPRXV223​ - Targets and Transfers​
FPRXV225​ - Anchor Products​
FPRXV226​ - Financial Health​
FPRXV227​ - PLC Execution Performance​
FPRXV228​ - Portfolio​
FPRXV231​ - Date Comparisons​
FPRXV181​ - Headcount Pipeline Details Report​
FPRXV149​ - Forward Looking Judged Demand & ASP MMID (SSRS)​
FPRXV173​ - HC actuals vs POR by Business Unit and Project Master Data (OpEx)​
FPRXV183​ - Headcount Trends/Geo Mix (OPEX)​
FPRXV069​ - Reporting for project level actuals (OpEx)​","ECA Objects for Release 3 are getting cancelled due to
1) Some other object catering the requirement
2) No longer needed by business

Transfer of objects into Intel ECA Tracker
1) Due to non-S/4 sources of data

Object ID: 
FPRXV064​ - HC Report: Ops1 Operations Headcount EXCEL.url​
FPRXV065​ - Ops1 Headcount Detail​
FPRXV066​ - Headcount Report India​
FPRXV170​ - Project Deactivation​
FPRXV171​ - Guardband Checkbook​
FPRXV221​ - Employee Related Expenses Report​
FPRXV223​ - Targets and Transfers​
FPRXV225​ - Anchor Products​
FPRXV226​ - Financial Health​
FPRXV227​ - PLC Execution Performance​
FPRXV228​ - Portfolio​
FPRXV231​ - Date Comparisons​
FPRXV181​ - Headcount Pipeline Details Report​
FPRXV149​ - Forward Looking Judged Demand & ASP MMID (SSRS)​
FPRXV173​ - HC actuals vs POR by Business Unit and Project Master Data (OpEx)​
FPRXV183​ - Headcount Trends/Geo Mix (OPEX)​
FPRXV069​ - Reporting for project level actuals (OpEx)​","FPRV064, FPRXV065, and FPRXV066 will be replaced by FPRXV063. 
FPRXV173 is a duplicate of FPRXV229. 
FPRXV183 is a duplicate of FPRXV181. 
FPRXV069's report specs will be captured separately. 
FPRXV221, FPRXV225, FPRXV226, FPRXV227, FPRXV228, FPRXV231, FPRXV181, FPRXV149 are all transferred to Intel ECA team as S/4 Data is not required; corresponding replacements are ECAFPRV2358, ECAFPRV2359, ECAFPRV2360, ECAFPRV2361, ECAFPRV2362, ECAFPRV2363, ECAFPRV2365, ECAFPRV4636.
FPRXV223 will also be transferred to Intel ECA team as S/4 Data is not required; ECA object to be created.

https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/Change%20Request%20Decks/Analytics/INT-CR0411_R3_FPR_ECA%20Objects%20Cancellations.pptx?d=w48fa5f36f28440fd93041a358a697f0f&csf=1&web=1&e=5YIXkO&nav=eyJzSWQiOjIxNDc0ODE4MzcsImNJZCI6MTY4NTc0OTY2fQ",,Yes,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/Change%20Request%20Decks/Analytics/INT-CR0411_R3_FPR_ECA%20Objects%20Cancellations.pptx?d=w48fa5f36f28440fd93041a358a697f0f&csf=1&web=1&e=gqqgK8,,,5. Cancel RICEFW / ECA / Build Object,,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,No,,0.0,N/A,,,0.0,"FPRXV064, FPRXV065, FPRXV066, FPRXV069, FPRXV149, FPRXV170, FPRXV171, FPRXV173, FPRXV181, FPRXV183, FPRXV221, FPRXV223, FPRXV225, FPRXV226, FPRXV227, FPRXV228, FPRXV231",17.0,,0.0,17.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,"FPRXV064​, FPRXV065, FPRXV066, FPRXV170, FPRXV171, FPRXV221, FPRXV223​, FPRXV225​, FPRXV226, FPRXV227, FPRXV228​, FPRXV231, FPRXV181​, FPRXV149, FPRXV173, FPRXV183, FPRXV069",,,17.0,04. Tower/Horizontal Approved (end status),No,No,2025-04-23 00:00:00,,,,,,,,,,,Other,Tower,2025-04-23 00:00:00,"04, 2025","04, 2025","03, 2025",2025-03-10 00:00:00,0.0,< 15 Days,web-form@smartsheet.com,,No,,No Objects,,In Progress,No,
R3 (Feb 2027),R3 ITC1,INT-CR0413,Approved,,ERP,R3 (Release 3),High,06. PTP,6.2 PTP - Procurement,,"06. PTP
09B. Data Migration
11. Technology",vijasharma@deloitte.com,,,,,,,,,,,,Changes required for Source Lists conversion object PTPC0536_IP_IF - ECC extraction criteria and S/4 load logic changes as per business requirements,"Following changes/additions to be done in the FSD for source list conversion object as per this CR - 
1. There are some ECC plants which have mapping to multiple plants in S/4. We need to create Source list records for all those plants in S/4 with same ECC data which are procurement plants.
2. Change in extraction logic for source list records where scheduling agreements are there currently. We need to additionally identify contracts from scheduling agreement with EKPO table, currently we are not doing this.
3. Filter SL records during the extraction for OSAT process area where production order process would be followed  We need to put additional filter to identify such records with MARA table and remove these records. 
4. Include MPN part number field in the IDOC structure, as currently it is not getting loaded into S/4.","During the FUT review these gaps were identified in the Source List conversion object. These changes are required to be done otherwise, for the above scenarios source list records cannot be loaded in S/4 system at the time of conversion.",,Yes,,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/_layouts/15/Doc.aspx?sourcedoc=%7B91F8C06E-0621-4040-8A2C-8551766A16FC%7D&file=INT-CR0413_PTP_IF_IP.pptx&wdLOR=c842C0C28-DF91-46FA-A09C-55FD4F25666C&action=edit&mobileredirect=true,,4. Change to Existing RICEFW / ECA/ Build Object,,,,152.0,0.0,,,,,,,,,,,152.0,,,0.0,152.0,Data Migration,No,,0.0,N/A,,"PTPC0536_IP, PTPC0536_IF",2.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,"PTPC0536_IP, PTPC0536_IF",2.0,"PTPC0536_IP, PTPC0536_IF",2.0,,0.0,,0.0,N/A,,2025-09-12 00:00:00,0.0,04. Tower/Horizontal Approved (end status),No,No,2025-03-27 00:00:00,"Approved by Todd in offline email:
Hi Anna,
 
INT-CR0365: Approved
INT-CR0367: Approved
INT-CR0413: Approved
INT-CR0408: Approved
 
These are all R3 so I’m generally less worried about risk
 
Todd",,,,,,,,,,Build,Tower,2025-03-27 00:00:00,"03, 2025","03, 2025","03, 2025",2025-03-10 00:00:00,0.0,< 15 Days,web-form@smartsheet.com,,No,CR Complete,No Objects,,Complete,Yes,
R3 (Feb 2027),N/A,INT-CR0414,Approved,,ERP,R3 (Release 3),Medium,07. FTS IF,7.6 FTS IF - Logistics & Inventory Management,Yes,07. FTS IF,Aditya Tiwari,,,,,,,,,,,,Cancellation of RICEFW Object: LOGE1051_IF (Duplicate object ID created),Cancel Object added under R3,LOGE1051_IF object needs to be descoped/Cancelled as this was created as a duplicate object ID for LOGE1052_IF. The requirements are already covered in the other object.,,Yes,,"https://intel.sharepoint.com/:b:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/CR%20Approval%20Emails/CR0414/%5BEXT%5D%20Re_%20R3%20FTS_LE%20logistics%20CR%27s%20Requesting%20Cancellation%20approval%20-CR0414,%20CR0469,%20CR0303%20%26%20CR0476.pdf?csf=1&web=1&e=0jogUe",,,5. Cancel RICEFW / ECA / Build Object,,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,No,,0.0,N/A,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,LOGE1051_IF,,,1.0,04. Tower/Horizontal Approved (end status),No,No,2025-04-16 00:00:00,,,,,,,,,,,Other,Tower,2025-04-16 00:00:00,"04, 2025","04, 2025","03, 2025",2025-03-10 00:00:00,0.0,< 15 Days,aditiwari@deloitte.com,Yes,No,,No Objects,,In Progress,No,
R2 (Aug 2025),R2,INT-CR0415,Approved,,ERP,R2 (Release 2),Very High,09A. Master Data,9A.6 Master Data - Material,,"04. OTC IF
09A. Master Data
09B. Data Migration",mshabaz@deloitte.com,,,,,,,,,,,,Material Master Data Change in Extraction Criteria for Service Materials,Change in Extraction criteria of Service Materials,Change in extraction criteria of Service Materials is required to exclude Inactive Materials,,No,,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/Change%20Request%20Decks/Data/INT-CR0415-Change%20in%20Extraction%20criteria%20of%20Service%20Materials%20for%20R2.pptx?d=w2519a3fac53045cfae8c8e34cfff8cde&csf=1&web=1&e=giXA5d,,4. Change to Existing RICEFW / ECA/ Build Object,,,,20.0,0.0,,,,,,,,,,,20.0,,,0.0,20.0,Data Migration,No,,0.0,N/A,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,DATC0068_IF,1.0,DATC0068_IF,1.0,,0.0,,0.0,N/A,,2025-03-14 00:00:00,0.0,04. Tower/Horizontal Approved (end status),No,No,2025-03-13 00:00:00,Approved in Daily Sync with Uzma.,,,,,,,,,,Build,Tower,2025-03-13 00:00:00,"03, 2025","03, 2025","03, 2025",2025-03-10 00:00:00,0.0,< 15 Days,web-form@smartsheet.com,,No,CR Complete,No Objects,,Complete,Yes,
R3 (Feb 2027),N/A,INT-CR0418,Approved,,ERP,R3 (Release 3),High,06. PTP,6.2 PTP - Procurement,,"06. PTP
09B. Data Migration",Surendra Kusumuru,,,,,,,,,,,,PTPC0633_IP_Purchase Requisition Conversion ECC to S4 Need to be cancelled,03/10 : PTPC0633_IP Need to be canceled,03/10:As per the Intel IT  team alignment . EMS PRs are only applicable for IF. We can cancel the IP conversion RICEFW.,,Yes,,https://intel.sharepoint.com/:b:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/CR%20Approval%20Emails/CR0418/FW_%20FSD_PTPC0633_IP_Purchase%20Requisition%20Conversion%20ECC%20to%20S4%20-%20Descoping%20Approval%20request%20CR%23418.pdf?csf=1&web=1&e=yUj7Zb,,,5. Cancel RICEFW / ECA / Build Object,,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,No,,0.0,N/A,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,PTPC0633_IP,,,1.0,10. OSC/CL Approved (end status),No,No,2025-04-10 00:00:00,,,,,,,,,,,Other,Tower,2025-04-10 00:00:00,"04, 2025","04, 2025","03, 2025",2025-03-10 00:00:00,0.0,< 15 Days,surensurendra@deloitte.com,,No,,No Objects,,In Progress,No,
